,W001
2014-01-01 00:00:00,11.93
2014-01-01 00:09:59.999996,10.19
2014-01-01 00:20:00.000001,9.514
2014-01-01 00:29:59.999997,9.38
2014-01-01 00:40:00.000002,9.825
2014-01-01 00:49:59.999998,9.594
2014-01-01 01:00:00.000003,9.92
2014-01-01 01:09:59.999999,9.548
2014-01-01 01:20:00.000004,8.242
2014-01-01 01:30:00,9.337
2014-01-01 01:39:59.999996,8.648
2014-01-01 01:50:00.000001,9.995
2014-01-01 01:59:59.999997,10.421
2014-01-01 02:10:00.000002,10.139
2014-01-01 02:19:59.999998,9.319
2014-01-01 02:30:00.000003,10.398
2014-01-01 02:39:59.999999,9.789
2014-01-01 02:50:00.000004,10.187
2014-01-01 03:00:00,9.966
2014-01-01 03:09:59.999996,9.293
2014-01-01 03:20:00.000001,9.512
2014-01-01 03:29:59.999997,9.586
2014-01-01 03:40:00.000002,9.979
2014-01-01 03:49:59.999998,8.905
2014-01-01 04:00:00.000003,9.74
2014-01-01 04:09:59.999999,9.409
2014-01-01 04:20:00.000004,9.183
2014-01-01 04:30:00,10.223
2014-01-01 04:39:59.999996,10.385
2014-01-01 04:50:00.000001,10.539
2014-01-01 04:59:59.999997,9.648
2014-01-01 05:10:00.000002,9.851
2014-01-01 05:19:59.999998,9.519
2014-01-01 05:30:00.000003,10.244
2014-01-01 05:39:59.999999,10.473
2014-01-01 05:50:00.000004,9.124
2014-01-01 06:00:00,8.273
2014-01-01 06:09:59.999996,8.222
2014-01-01 06:20:00.000001,9.398
2014-01-01 06:29:59.999997,9.121
2014-01-01 06:40:00.000002,9.568
2014-01-01 06:49:59.999998,9.609
2014-01-01 07:00:00.000003,9.432
2014-01-01 07:09:59.999999,11.231
2014-01-01 07:20:00.000004,8.355
2014-01-01 07:30:00,9.966
2014-01-01 07:39:59.999996,10.041
2014-01-01 07:50:00.000001,10.126
2014-01-01 07:59:59.999997,10.789
2014-01-01 08:10:00.000002,11.765
2014-01-01 08:19:59.999998,12.682
2014-01-01 08:30:00.000003,11.603
2014-01-01 08:39:59.999999,12.13
2014-01-01 08:50:00.000004,11.901
2014-01-01 09:00:00,11.798
2014-01-01 09:09:59.999996,11.716
2014-01-01 09:20:00.000001,11.459
2014-01-01 09:29:59.999997,11.765
2014-01-01 09:40:00.000002,10.971
2014-01-01 09:49:59.999998,11.711
2014-01-01 10:00:00.000003,12.469
2014-01-01 10:09:59.999999,12.222
2014-01-01 10:20:00.000004,12.639
2014-01-01 10:30:00,13.032
2014-01-01 10:39:59.999996,12.693
2014-01-01 10:50:00.000001,12.266
2014-01-01 10:59:59.999997,9.91
2014-01-01 11:10:00.000002,11.382
2014-01-01 11:19:59.999998,13.158
2014-01-01 11:30:00.000003,10.971
2014-01-01 11:39:59.999999,12.351
2014-01-01 11:50:00.000004,13.112
2014-01-01 12:00:00,11.899
2014-01-01 12:09:59.999996,13.058
2014-01-01 12:20:00.000001,11.359
2014-01-01 12:29:59.999997,12.575
2014-01-01 12:40:00.000002,12.387
2014-01-01 12:49:59.999998,11.575
2014-01-01 13:00:00.000003,11.39
2014-01-01 13:09:59.999999,12.562
2014-01-01 13:20:00.000004,13.127
2014-01-01 13:30:00,11.935
2014-01-01 13:39:59.999996,13.268
2014-01-01 13:50:00.000001,12.608
2014-01-01 13:59:59.999997,11.513
2014-01-01 14:10:00.000002,11.673
2014-01-01 14:19:59.999998,11.107
2014-01-01 14:30:00.000003,11.452
2014-01-01 14:39:59.999999,10.64
2014-01-01 14:50:00.000004,12.145
2014-01-01 15:00:00,11.326
2014-01-01 15:09:59.999996,10.755
2014-01-01 15:20:00.000001,12.243
2014-01-01 15:29:59.999997,12.253
2014-01-01 15:40:00.000002,13.214
2014-01-01 15:49:59.999998,11.061
2014-01-01 16:00:00.000003,12.372
2014-01-01 16:09:59.999999,12.063
2014-01-01 16:20:00.000004,9.779
2014-01-01 16:30:00,10.953
2014-01-01 16:39:59.999996,11.475
2014-01-01 16:50:00.000001,10.922
2014-01-01 16:59:59.999997,8.371
2014-01-01 17:10:00.000002,10.218
2014-01-01 17:19:59.999998,10.601
2014-01-01 17:30:00.000003,9.09
2014-01-01 17:39:59.999999,10.313
2014-01-01 17:50:00.000004,8.91
2014-01-01 18:00:00,9.18
2014-01-01 18:09:59.999996,7.939
2014-01-01 18:20:00.000001,8.067
2014-01-01 18:29:59.999997,9.224
2014-01-01 18:40:00.000002,8.062
2014-01-01 18:49:59.999998,8.543
2014-01-01 19:00:00.000003,8.299
2014-01-01 19:09:59.999999,10.105
2014-01-01 19:20:00.000004,9.607
2014-01-01 19:30:00,9.306
2014-01-01 19:39:59.999996,9.866
2014-01-01 19:50:00.000001,10.845
2014-01-01 19:59:59.999997,10.604
2014-01-01 20:10:00.000002,10.807
2014-01-01 20:19:59.999998,10.031
2014-01-01 20:30:00.000003,9.566
2014-01-01 20:39:59.999999,9.81
2014-01-01 20:50:00.000004,9.948
2014-01-01 21:00:00,10.619
2014-01-01 21:09:59.999996,8.939
2014-01-01 21:20:00.000001,10.203
2014-01-01 21:29:59.999997,10.619
2014-01-01 21:40:00.000002,9.707
2014-01-01 21:49:59.999998,11.174
2014-01-01 22:00:00.000003,10.65
2014-01-01 22:09:59.999999,9.769
2014-01-01 22:20:00.000004,11.639
2014-01-01 22:30:00,10.699
2014-01-01 22:39:59.999996,10.969
2014-01-01 22:50:00.000001,10.781
2014-01-01 22:59:59.999997,11.732
2014-01-01 23:10:00.000002,11.544
2014-01-01 23:19:59.999998,10.259
2014-01-01 23:30:00.000003,10.131
2014-01-01 23:39:59.999999,11.179
2014-01-01 23:50:00.000004,8.278
2014-01-02 00:00:00,10.545
2014-01-02 00:09:59.999996,9.74
2014-01-02 00:20:00.000001,9.769
2014-01-02 00:29:59.999997,11.141
2014-01-02 00:40:00.000002,11.634
2014-01-02 00:49:59.999998,11.436
2014-01-02 01:00:00.000003,10.956
2014-01-02 01:09:59.999999,10.172
2014-01-02 01:20:00.000004,11.444
2014-01-02 01:30:00,10.529
2014-01-02 01:39:59.999996,10.367
2014-01-02 01:50:00.000001,12.762
2014-01-02 01:59:59.999997,11.984
2014-01-02 02:10:00.000002,11.002
2014-01-02 02:19:59.999998,12.402
2014-01-02 02:30:00.000003,10.331
2014-01-02 02:39:59.999999,11.649
2014-01-02 02:50:00.000004,11.169
2014-01-02 03:00:00,11.392
2014-01-02 03:09:59.999996,11.238
2014-01-02 03:20:00.000001,10.855
2014-01-02 03:29:59.999997,10.819
2014-01-02 03:40:00.000002,11.238
2014-01-02 03:49:59.999998,8.815
2014-01-02 04:00:00.000003,8.982
2014-01-02 04:09:59.999999,8.443
2014-01-02 04:20:00.000004,9.224
2014-01-02 04:30:00,10.069
2014-01-02 04:39:59.999996,9.681
2014-01-02 04:50:00.000001,10.493
2014-01-02 04:59:59.999997,9.84
2014-01-02 05:10:00.000002,9.753
2014-01-02 05:19:59.999998,9.447
2014-01-02 05:30:00.000003,9.188
2014-01-02 05:39:59.999999,10.452
2014-01-02 05:50:00.000004,10.527
2014-01-02 06:00:00,9.972
2014-01-02 06:09:59.999996,10.321
2014-01-02 06:20:00.000001,11.028
2014-01-02 06:29:59.999997,10.115
2014-01-02 06:40:00.000002,9.36
2014-01-02 06:49:59.999998,9.64
2014-01-02 07:00:00.000003,10.552
2014-01-02 07:09:59.999999,10.431
2014-01-02 07:20:00.000004,10.616
2014-01-02 07:30:00,10.748
2014-01-02 07:39:59.999996,9.509
2014-01-02 07:50:00.000001,9.643
2014-01-02 07:59:59.999997,12.454
2014-01-02 08:10:00.000002,11.542
2014-01-02 08:19:59.999998,10.496
2014-01-02 08:30:00.000003,11.953
2014-01-02 08:39:59.999999,11.202
2014-01-02 08:50:00.000004,9.974
2014-01-02 09:00:00,10.565
2014-01-02 09:09:59.999996,12.986
2014-01-02 09:20:00.000001,13.268
2014-01-02 09:29:59.999997,12.549
2014-01-02 09:40:00.000002,11.459
2014-01-02 09:49:59.999998,12.837
2014-01-02 10:00:00.000003,12.752
2014-01-02 10:09:59.999999,12.374
2014-01-02 10:20:00.000004,12.073
2014-01-02 10:30:00,12.618
2014-01-02 10:39:59.999996,13.433
2014-01-02 10:50:00.000001,13.597
2014-01-02 10:59:59.999997,11.603
2014-01-02 11:10:00.000002,11.439
2014-01-02 11:19:59.999998,12.343
2014-01-02 11:30:00.000003,12.156
2014-01-02 11:39:59.999999,12.685
2014-01-02 11:50:00.000004,12.127
2014-01-02 12:00:00,13.695
2014-01-02 12:09:59.999996,10.835
2014-01-02 12:20:00.000001,12.073
2014-01-02 12:29:59.999997,12.156
2014-01-02 12:40:00.000002,12.169
2014-01-02 12:49:59.999998,11.321
2014-01-02 13:00:00.000003,12.022
2014-01-02 13:09:59.999999,12.603
2014-01-02 13:20:00.000004,10.778
2014-01-02 13:30:00,12.21
2014-01-02 13:39:59.999996,13.05
2014-01-02 13:50:00.000001,13.268
2014-01-02 13:59:59.999997,10.709
2014-01-02 14:10:00.000002,11.536
2014-01-02 14:19:59.999998,12.261
2014-01-02 14:30:00.000003,11.454
2014-01-02 14:39:59.999999,12.24
2014-01-02 14:50:00.000004,11.295
2014-01-02 15:00:00,12.176
2014-01-02 15:09:59.999996,11.184
2014-01-02 15:20:00.000001,12.045
2014-01-02 15:29:59.999997,12.474
2014-01-02 15:40:00.000002,10.951
2014-01-02 15:49:59.999998,13.315
2014-01-02 16:00:00.000003,12.161
2014-01-02 16:09:59.999999,10.737
2014-01-02 16:20:00.000004,11.236
2014-01-02 16:30:00,11.793
2014-01-02 16:39:59.999996,10.845
2014-01-02 16:50:00.000001,11.125
2014-01-02 16:59:59.999997,11.665
2014-01-02 17:10:00.000002,12.081
2014-01-02 17:19:59.999998,11.855
2014-01-02 17:30:00.000003,10.485
2014-01-02 17:39:59.999999,10.123
2014-01-02 17:50:00.000004,9.969
2014-01-02 18:00:00,10.922
2014-01-02 18:09:59.999996,10.118
2014-01-02 18:20:00.000001,10.395
2014-01-02 18:29:59.999997,9.591
2014-01-02 18:40:00.000002,9.753
2014-01-02 18:49:59.999998,10.801
2014-01-02 19:00:00.000003,10.565
2014-01-02 19:09:59.999999,10.76
2014-01-02 19:20:00.000004,11.136
2014-01-02 19:30:00,10.858
2014-01-02 19:39:59.999996,9.486
2014-01-02 19:50:00.000001,8.987
2014-01-02 19:59:59.999997,9.645
2014-01-02 20:10:00.000002,9.609
2014-01-02 20:19:59.999998,8.617
2014-01-02 20:30:00.000003,9.314
2014-01-02 20:39:59.999999,9.874
2014-01-02 20:50:00.000004,9.07
2014-01-02 21:00:00,9.136
2014-01-02 21:09:59.999996,9.864
2014-01-02 21:20:00.000001,9.452
2014-01-02 21:29:59.999997,9.997
2014-01-02 21:40:00.000002,10.282
2014-01-02 21:49:59.999998,9.55
2014-01-02 22:00:00.000003,8.381
2014-01-02 22:09:59.999999,10.308
2014-01-02 22:20:00.000004,10.848
2014-01-02 22:30:00,10.069
2014-01-02 22:39:59.999996,10.336
2014-01-02 22:50:00.000001,9.912
2014-01-02 22:59:59.999997,10.668
2014-01-02 23:10:00.000002,10.049
2014-01-02 23:19:59.999998,10.976
2014-01-02 23:30:00.000003,11.999
2014-01-02 23:39:59.999999,12.366
2014-01-02 23:50:00.000004,11.691
2014-01-03 00:00:00,10.331
2014-01-03 00:09:59.999996,11.737
2014-01-03 00:20:00.000001,10.899
2014-01-03 00:29:59.999997,11.966
2014-01-03 00:40:00.000002,11.655
2014-01-03 00:49:59.999998,12.754
2014-01-03 01:00:00.000003,10.781
2014-01-03 01:09:59.999999,11.96
2014-01-03 01:20:00.000004,11.963
