Month,Block,IsagenViento,Isagen2Viento
1,1,0.83,0.83
1,2,0.53,0.53
1,3,0.76,0.76
1,4,0.92,0.92
1,5,1.06,1.06
1,6,1.1,1.1
1,7,1.12,1.12
1,8,1.06,1.06
1,9,0.84,0.84
1,10,0.9,0.9
1,11,0.75,0.75
1,12,1.13,1.13
1,13,1.15,1.15
1,14,1.18,1.18
1,15,1.02,1.02
1,16,0.74,0.74
1,17,0.85,0.85
1,18,0.81,0.81
1,19,0.92,0.92
1,20,1.06,1.06
1,21,1.2,1.2
1,22,1.06,1.06
1,23,0.95,0.95
1,24,1.16,1.16
2,1,0.83,0.83
2,2,0.53,0.53
2,3,0.76,0.76
2,4,0.92,0.92
2,5,1.06,1.06
2,6,1.1,1.1
2,7,1.12,1.12
2,8,1.06,1.06
2,9,0.84,0.84
2,10,0.9,0.9
2,11,0.75,0.75
2,12,1.13,1.13
2,13,1.15,1.15
2,14,1.18,1.18
2,15,1.02,1.02
2,16,0.74,0.74
2,17,0.85,0.85
2,18,0.81,0.81
2,19,0.92,0.92
2,20,1.06,1.06
2,21,1.2,1.2
2,22,1.06,1.06
2,23,0.95,0.95
2,24,1.16,1.16
3,1,0.83,0.83
3,2,0.53,0.53
3,3,0.76,0.76
3,4,0.92,0.92
3,5,1.06,1.06
3,6,1.1,1.1
3,7,1.12,1.12
3,8,1.06,1.06
3,9,0.84,0.84
3,10,0.9,0.9
3,11,0.75,0.75
3,12,1.13,1.13
3,13,1.15,1.15
3,14,1.18,1.18
3,15,1.02,1.02
3,16,0.74,0.74
3,17,0.85,0.85
3,18,0.81,0.81
3,19,0.92,0.92
3,20,1.06,1.06
3,21,1.2,1.2
3,22,1.06,1.06
3,23,0.95,0.95
3,24,1.16,1.16
4,1,0.83,0.83
4,2,0.53,0.53
4,3,0.76,0.76
4,4,0.92,0.92
4,5,1.06,1.06
4,6,1.1,1.1
4,7,1.12,1.12
4,8,1.06,1.06
4,9,0.84,0.84
4,10,0.9,0.9
4,11,0.75,0.75
4,12,1.13,1.13
4,13,1.15,1.15
4,14,1.18,1.18
4,15,1.02,1.02
4,16,0.74,0.74
4,17,0.85,0.85
4,18,0.81,0.81
4,19,0.92,0.92
4,20,1.06,1.06
4,21,1.2,1.2
4,22,1.06,1.06
4,23,0.95,0.95
4,24,1.16,1.16
5,1,0.83,0.83
5,2,0.53,0.53
5,3,0.76,0.76
5,4,0.92,0.92
5,5,1.06,1.06
5,6,1.1,1.1
5,7,1.12,1.12
5,8,1.06,1.06
5,9,0.84,0.84
5,10,0.9,0.9
5,11,0.75,0.75
5,12,1.13,1.13
5,13,1.15,1.15
5,14,1.18,1.18
5,15,1.02,1.02
5,16,0.74,0.74
5,17,0.85,0.85
5,18,0.81,0.81
5,19,0.92,0.92
5,20,1.06,1.06
5,21,1.2,1.2
5,22,1.06,1.06
5,23,0.95,0.95
5,24,1.16,1.16
6,1,0.83,0.83
6,2,0.53,0.53
6,3,0.76,0.76
6,4,0.92,0.92
6,5,1.06,1.06
6,6,1.1,1.1
6,7,1.12,1.12
6,8,1.06,1.06
6,9,0.84,0.84
6,10,0.9,0.9
6,11,0.75,0.75
6,12,1.13,1.13
6,13,1.15,1.15
6,14,1.18,1.18
6,15,1.02,1.02
6,16,0.74,0.74
6,17,0.85,0.85
6,18,0.81,0.81
6,19,0.92,0.92
6,20,1.06,1.06
6,21,1.2,1.2
6,22,1.06,1.06
6,23,0.95,0.95
6,24,1.16,1.16
7,1,0.83,0.83
7,2,0.53,0.53
7,3,0.76,0.76
7,4,0.92,0.92
7,5,1.06,1.06
7,6,1.1,1.1
7,7,1.12,1.12
7,8,1.06,1.06
7,9,0.84,0.84
7,10,0.9,0.9
7,11,0.75,0.75
7,12,1.13,1.13
7,13,1.15,1.15
7,14,1.18,1.18
7,15,1.02,1.02
7,16,0.74,0.74
7,17,0.85,0.85
7,18,0.81,0.81
7,19,0.92,0.92
7,20,1.06,1.06
7,21,1.2,1.2
7,22,1.06,1.06
7,23,0.95,0.95
7,24,1.16,1.16
8,1,0.83,0.83
8,2,0.53,0.53
8,3,0.76,0.76
8,4,0.92,0.92
8,5,1.06,1.06
8,6,1.1,1.1
8,7,1.12,1.12
8,8,1.06,1.06
8,9,0.84,0.84
8,10,0.9,0.9
8,11,0.75,0.75
8,12,1.13,1.13
8,13,1.15,1.15
8,14,1.18,1.18
8,15,1.02,1.02
8,16,0.74,0.74
8,17,0.85,0.85
8,18,0.81,0.81
8,19,0.92,0.92
8,20,1.06,1.06
8,21,1.2,1.2
8,22,1.06,1.06
8,23,0.95,0.95
8,24,1.16,1.16
9,1,0.83,0.83
9,2,0.53,0.53
9,3,0.76,0.76
9,4,0.92,0.92
9,5,1.06,1.06
9,6,1.1,1.1
9,7,1.12,1.12
9,8,1.06,1.06
9,9,0.84,0.84
9,10,0.9,0.9
9,11,0.75,0.75
9,12,1.13,1.13
9,13,1.15,1.15
9,14,1.18,1.18
9,15,1.02,1.02
9,16,0.74,0.74
9,17,0.85,0.85
9,18,0.81,0.81
9,19,0.92,0.92
9,20,1.06,1.06
9,21,1.2,1.2
9,22,1.06,1.06
9,23,0.95,0.95
9,24,1.16,1.16
10,1,0.83,0.83
10,2,0.53,0.53
10,3,0.76,0.76
10,4,0.92,0.92
10,5,1.06,1.06
10,6,1.1,1.1
10,7,1.12,1.12
10,8,1.06,1.06
10,9,0.84,0.84
10,10,0.9,0.9
10,11,0.75,0.75
10,12,1.13,1.13
10,13,1.15,1.15
10,14,1.18,1.18
10,15,1.02,1.02
10,16,0.74,0.74
10,17,0.85,0.85
10,18,0.81,0.81
10,19,0.92,0.92
10,20,1.06,1.06
10,21,1.2,1.2
10,22,1.06,1.06
10,23,0.95,0.95
10,24,1.16,1.16
11,1,0.83,0.83
11,2,0.53,0.53
11,3,0.76,0.76
11,4,0.92,0.92
11,5,1.06,1.06
11,6,1.1,1.1
11,7,1.12,1.12
11,8,1.06,1.06
11,9,0.84,0.84
11,10,0.9,0.9
11,11,0.75,0.75
11,12,1.13,1.13
11,13,1.15,1.15
11,14,1.18,1.18
11,15,1.02,1.02
11,16,0.74,0.74
11,17,0.85,0.85
