P: Isagen1,CT: Isagen1,TpR: Isagen1,P: Isagen2,CT: Isagen2,TpR: Isagen2,P: Isagen3,CT: Isagen3,TpR: Isagen3,P: Isagen4,CT: Isagen4,TpR: Isagen4
21.3,0.85,35,29,0.851,35,21.3,0.85,35,21.3,0.85,35
197.3,0.76,36,81,0.816,36,84.9,0.81,36,84.9,0.81,36
594.9,0.75,26,146,0.792,26,197.3,0.76,26,197.3,0.76,26
1274.4,0.71,,226,0.783,12,363.8,0.75,17,363.8,0.75,17
1863,0.65,,327,0.779,5,594.9,0.75,,594.9,0.75,
1990.4,0.5,,452,0.774,,900.8,0.73,,900.8,0.73,
1999.6,0.35,,600,0.77,,1274.4,0.71,,1274.4,0.71,
2000,0.25,,775,0.766,,1633,0.7,,1633,0.7,
2000,0.15,,981,0.763,,1863,0.65,,1863,0.65,
2000,0.05,,1216,0.757,,1960,0.6,,1960,0.6,
,,,1483,0.751,,1990.4,0.5,,1990.4,0.5,
,,,1780,0.742,,1997.9,0.4,,1997.9,0.4,
,,,2103,0.727,,1999.6,0.35,,1999.6,0.35,
,,,2437,0.701,,1999.9,0.3,,1999.9,0.3,
,,,2753,0.659,,2000,0.25,,2000,0.25,
,,,2999,0.598,,2000,0.2,,2000,0.2,
,,,3159,0.528,,2000,0.15,,2000,0.15,
,,,3241,0.457,,2000,0.1,,2000,0.1,
,,,3276,0.395,,2000,0.05,,2000,0.05,
,,,3290,0.343,,,,,,,
,,,3297,0.3,,,,,,,
,,,3300,0.264,,,,,,,
,,,3300,0.235,,,,,,,
,,,3300,0.21,,,,,,,
,,,3300,0.188,,,,,,,
,,,3300,0.169,,,,,,,
,,,3300,0.154,,,,,,,
,,,3300,0.14,,,,,,,
,,,3300,0.128,,,,,,,
,,,3300,0.117,,,,,,,
,,,3300,0.108,,,,,,,
,,,3300,0.1,,,,,,,
,,,3300,0.093,,,,,,,
,,,3300,0.086,,,,,,,
,,,3300,0.08,,,,,,,
,,,3300,0.075,,,,,,,
,,,3300,0.07,,,,,,,
,,,3300,0.065,,,,,,,
,,,3300,0.061,,,,,,,
,,,3300,0.057,,,,,,,
,,,3300,0.054,,,,,,,
,,,3300,0.051,,,,,,,
,,,3300,0.048,,,,,,,
,,,3300,0.045,,,,,,,
,,,3300,0.043,,,,,,,
