fecha,valor
01/01/1985,2.2
01/02/1985,1.9
01/03/1985,1.8
01/04/1985,1.9
01/05/1985,2.1
01/06/1985,2
01/07/1985,1.9
01/08/1985,1.8
01/09/1985,2
01/10/1985,2.1
01/11/1985,2.3
01/12/1985,2
01/01/1986,1.4
01/02/1986,1.5
01/03/1986,1.7
01/04/1986,2
01/05/1986,2.2
01/06/1986,2.2
01/07/1986,2
01/08/1986,2.2
01/09/1986,1.7
01/10/1986,2.3
01/11/1986,2.3
01/12/1986,2
01/01/1987,1.6
01/02/1987,1.1
01/03/1987,1
01/04/1987,1.1
01/05/1987,1.9
01/06/1987,1.8
01/07/1987,1.6
01/08/1987,2.1
01/09/1987,1.7
01/10/1987,2.4
01/11/1987,2.4
01/12/1987,2
01/01/1988,1.5
01/02/1988,1.5
01/03/1988,1.2
01/04/1988,2.1
01/05/1988,2.2
01/06/1988,2.2
01/07/1988,2.3
01/08/1988,2.1
01/09/1988,2.3
01/10/1988,2.2
01/11/1988,2.2
01/12/1988,2.3
01/01/1989,2.2
01/02/1989,2
01/03/1989,2.4
01/04/1989,2.2
01/05/1989,2.4
01/06/1989,2.4
01/07/1989,2.2
01/08/1989,1.7
01/09/1989,2.1
01/10/1989,2.3
01/11/1989,2.2
01/12/1989,2.1
01/01/1990,1.9
01/02/1990,1.6
01/03/1990,1.8
01/04/1990,2.3
01/05/1990,1.8
01/06/1990,2.3
01/07/1990,2.3
01/08/1990,1.7
01/09/1990,1.4
01/10/1990,2.3
01/11/1990,2.4
01/12/1990,1.8
01/01/1991,1.8
01/02/1991,1.3
01/03/1991,1.8
01/04/1991,1.9
01/05/1991,2.2
01/06/1991,2.2
01/07/1991,2.6
01/08/1991,3.6
01/09/1991,3.5
01/10/1991,3.2
01/11/1991,3.3
01/12/1991,2.4
01/01/1992,1.7
01/02/1992,2
01/03/1992,1.7
01/04/1992,1.9
01/05/1992,1.8
01/06/1992,1.8
01/07/1992,1.4
01/08/1992,1.4
01/09/1992,2
01/10/1992,2
01/11/1992,2.1
01/12/1992,2.6
01/01/1993,2.1
01/02/1993,1.9
01/03/1993,2.2
01/04/1993,2.3
01/05/1993,5
01/06/1993,2.3
01/07/1993,2.2
01/08/1993,1.9
01/09/1993,2.3
01/10/1993,2.5
01/11/1993,2.7
01/12/1993,2.7
01/01/1994,2.4
01/02/1994,1.9
01/03/1994,2.4
01/04/1994,2.5
01/05/1994,2.4
01/06/1994,2
01/07/1994,1.9
01/08/1994,1.6
01/09/1994,1.6
01/10/1994,2.3
01/11/1994,2.6
01/12/1994,2.4
01/01/1995,1.4
01/02/1995,1.2
01/03/1995,1
01/04/1995,2
01/05/1995,2.4
01/06/1995,2.6
01/07/1995,2.4
01/08/1995,2.2
01/09/1995,2
01/10/1995,2.6
01/11/1995,2.4
01/12/1995,6.1
01/01/1996,2.6
01/02/1996,3.4
01/03/1996,6.3
01/04/1996,4.2
01/05/1996,3.5
01/06/1996,4.4
01/07/1996,5.9
01/08/1996,1.9
01/09/1996,1.7
01/10/1996,2.2
01/11/1996,3
01/12/1996,2
01/01/1997,2.1
01/02/1997,2.2
01/03/1997,2.2
01/04/1997,2
01/05/1997,1.8
01/06/1997,2.5
01/07/1997,1.2
01/08/1997,0.7
01/09/1997,0.7
01/10/1997,0.8
01/11/1997,1.8
01/12/1997,1
01/01/1998,0.8
01/02/1998,0.6
01/03/1998,0.7
01/04/1998,1.6
01/05/1998,1.6
01/06/1998,2.3
01/07/1998,3.2
01/08/1998,2.3
01/09/1998,2.3
01/10/1998,2.1
01/11/1998,2.7
01/12/1998,2.2
01/01/1999,1.5
01/02/1999,1.6
01/03/1999,1.7
01/04/1999,1.5
01/05/1999,1.6
01/06/1999,1.4
01/07/1999,1.4
01/08/1999,1.1
01/09/1999,1.4
01/10/1999,1.6
01/11/1999,1.5
01/12/1999,1.6
01/01/2000,1.2
01/02/2000,1.2
01/03/2000,1.5
01/04/2000,1.6
01/05/2000,1.5
01/06/2000,1.6
01/07/2000,1.5
01/08/2000,1.3
01/09/2000,1.4
01/10/2000,1.4
01/11/2000,1
01/12/2000,0.9
01/01/2001,1.5
01/02/2001,1.2
01/03/2001,1.9
01/04/2001,1.6
01/05/2001,2.6
01/06/2001,2.5
01/07/2001,1.4
01/08/2001,1.3
01/09/2001,1.3
01/10/2001,1.6
01/11/2001,2
01/12/2001,2.6
01/01/2002,1.5
01/02/2002,1
01/03/2002,1.1
01/04/2002,1.4
01/05/2002,1.8
01/06/2002,1.8
01/07/2002,1.5
01/08/2002,0.9
01/09/2002,1.1
01/10/2002,1.4
01/11/2002,2.2
01/12/2002,1.9
01/01/2003,1
01/02/2003,1.3
01/03/2003,1.4
01/04/2003,2.2
01/05/2003,2.4
01/06/2003,2.3
01/07/2003,1.5
01/08/2003,4.9
01/09/2003,1
01/10/2003,2.2
01/11/2003,2.4
01/12/2003,1.3
01/01/2004,1.2
01/02/2004,1
01/03/2004,0.9
01/04/2004,1.6
01/05/2004,2.3
01/06/2004,1.2
01/07/2004,1.2
01/08/2004,0.8
01/09/2004,1.5
01/10/2004,1.4
01/11/2004,2.3
01/12/2004,2.1
01/01/2005,1.9
01/02/2005,2.1
01/03/2005,2.2
01/04/2005,2.2
01/05/2005,4.2
01/06/2005,5.4
01/07/2005,1.6
01/08/2005,1.1
01/09/2005,1.1
01/10/2005,1.8
01/11/2005,3.1
01/12/2005,2.1
01/01/2006,1.9
01/02/2006,1.6
01/03/2006,2
01/04/2006,3.7
01/05/2006,5.6
01/06/2006,3.4
01/07/2006,1.4
01/08/2006,1.1
01/09/2006,1.3
01/10/2006,2
01/11/2006,2.6
01/12/2006,2.7
01/01/2007,1.4
01/02/2007,0.9
01/03/2007,1.2
01/04/2007,2
01/05/2007,2
01/06/2007,1.8
01/07/2007,1.5
01/08/2007,3
01/09/2007,2.7
01/10/2007,3.4
01/11/2007,2.6
01/12/2007,2.7
01/01/2008,1.9
01/02/2008,1.8
01/03/2008,2.1
01/04/2008,2.6
01/05/2008,3.9
