fecha,valor 
01/01/1985,15.5
01/02/1985,11.4
01/03/1985,19.1
01/04/1985,26.2
01/05/1985,38
01/06/1985,18.6
01/07/1985,14.2
01/08/1985,23.2
01/09/1985,27.6
01/10/1985,27.3
01/11/1985,20.2
01/12/1985,20.4
01/01/1986,18.1
01/02/1986,14.6
01/03/1986,11.7
01/04/1986,38
01/05/1986,29.1
01/06/1986,25.4
01/07/1986,14.5
01/08/1986,24.9
01/09/1986,26.2
01/10/1986,39.3
01/11/1986,38.2
01/12/1986,22.1
01/01/1987,17.9
01/02/1987,14.4
01/03/1987,17.6
01/04/1987,27.2
01/05/1987,36.9
01/06/1987,26.8
01/07/1987,28.5
01/08/1987,23.2
01/09/1987,38.1
01/10/1987,51.2
01/11/1987,48.6
01/12/1987,29.7
01/01/1988,12.6
01/02/1988,18
01/03/1988,13.8
01/04/1988,44.1
01/05/1988,52.3
01/06/1988,35.8
01/07/1988,67.3
01/08/1988,44.1
01/09/1988,64.9
01/10/1988,68.9
01/11/1988,74.1
01/12/1988,62.9
01/01/1989,47.5
01/02/1989,24
01/03/1989,34
01/04/1989,43.3
01/05/1989,43.7
01/06/1989,40.2
01/07/1989,18.7
01/08/1989,39
01/09/1989,35.9
01/10/1989,54.6
01/11/1989,49.7
01/12/1989,26.6
01/01/1990,20.7
01/02/1990,25.8
01/03/1990,18.4
01/04/1990,41.4
01/05/1990,34.4
01/06/1990,36.3
01/07/1990,33.3
01/08/1990,35
01/09/1990,46.2
01/10/1990,45.5
01/11/1990,42.5
01/12/1990,32.1
01/01/1991,12.1
01/02/1991,10.5
01/03/1991,14.1
01/04/1991,26
01/05/1991,26.9
01/06/1991,22.2
01/07/1991,18.9
01/08/1991,16
01/09/1991,14.6
01/10/1991,30
01/11/1991,31.5
01/12/1991,25.1
01/01/1992,14.3
01/02/1992,11.6
01/03/1992,19.7
01/04/1992,20.4
01/05/1992,36.8
01/06/1992,28.1
01/07/1992,16.6
01/08/1992,27.6
01/09/1992,39.6
01/10/1992,41.4
01/11/1992,40.2
01/12/1992,42.4
01/01/1993,35.3
01/02/1993,24.2
01/03/1993,29
01/04/1993,40.3
01/05/1993,44.6
01/06/1993,21.8
01/07/1993,31.3
01/08/1993,23.7
01/09/1993,51.5
01/10/1993,30.9
01/11/1993,28.2
01/12/1993,37.9
01/01/1994,19.5
01/02/1994,16.6
01/03/1994,18.6
01/04/1994,41.4
01/05/1994,37.1
01/06/1994,19.2
01/07/1994,20.4
01/08/1994,22.7
01/09/1994,22.4
01/10/1994,36
01/11/1994,28.9
01/12/1994,19.6
01/01/1995,11.8
01/02/1995,10
01/03/1995,20.7
01/04/1995,29.9
01/05/1995,28.6
01/06/1995,29.7
01/07/1995,26.8
01/08/1995,53.3
01/09/1995,31.8
01/10/1995,51.6
01/11/1995,38.3
01/12/1995,19.2
01/01/1996,15.2
01/02/1996,19.1
01/03/1996,21.8
01/04/1996,34.9
01/05/1996,35.1
01/06/1996,29.1
01/07/1996,25.9
01/08/1996,22.9
01/09/1996,19.4
01/10/1996,47.1
01/11/1996,38.6
01/12/1996,14
01/01/1997,7.5
01/02/1997,13.5
01/03/1997,22.9
01/04/1997,46.6
01/05/1997,29.8
01/06/1997,36.8
01/07/1997,13
01/08/1997,16.4
01/09/1997,32.9
01/10/1997,28.3
01/11/1997,31.6
01/12/1997,16.3
01/01/1998,15.8
01/02/1998,17.9
01/03/1998,14.9
01/04/1998,21.6
01/05/1998,37.2
01/06/1998,16.7
01/07/1998,30.5
01/08/1998,29
01/09/1998,44.6
01/10/1998,50
01/11/1998,57.4
01/12/1998,48.8
01/01/1999,39.1
01/02/1999,34.3
01/03/1999,26
01/04/1999,39.7
01/05/1999,34.7
01/06/1999,26.2
01/07/1999,18.5
01/08/1999,19.6
01/09/1999,31.2
01/10/1999,38.7
01/11/1999,28.5
01/12/1999,25
01/01/2000,9.1
01/02/2000,14.9
01/03/2000,13.1
01/04/2000,17.5
01/05/2000,24.2
01/06/2000,37.4
01/07/2000,20.3
