codigo ,H/W/S,localizacion,resolucion,nombre,p_instalada (MW),FP (MWh/m3/s)
1212001,1,2,12,sogamoso,819,1.3047
1312002,1,3,12,San Lorenzo,170,2.4761
1312003,1,3,12,San Carlos,1240,5.4605
1312004,1,3,12,calderas,19.9,3.6716
1312005,1,3,12,Miel I,396,2.0019
1312006,1,3,12,amoya,80,4.8609
2312001,2,3,12,Pepetshi,376,
3212001,3,2,12,Sol Uribia,390,
1612007,1,6,12,Alto Achincaya,355,3.904
1412008,1,4,12,Bata,1000,7.011
1612009,1,6,12,Betania,540,0.6237
1312010,1,3,12,Calima,132,1.8735
1412011,1,4,12,Chuza,35,3.8095
1112012,1,1,12,Concepcion ,40,0.636
1312013,1,3,12,Digua,74,0.5321
1112014,1,1,12,Grande Tasajera,306,7.7612
1112015,1,1,12,Guadalupe,40,0.636
1312016,1,3,12,Guatape,207,1.561
1412017,1,4,12,Guavio,1200,9.7418
1312018,1,3,12,Nare,560,7.6858
1412019,1,4,12,Prado,46,0.4899
1612020,1,6,12,Salvajina,285,0.9877
1112023,1,1,12,Tenche,40,0.636
1412024,1,4,12,Chinchina,19,0.85
1412025,1,4,12,Campo Alegre,19,0.85
1412026,1,4,12,San Eugenio,30,1.2534
1212027,1,2,12,Estrella,30,1.2534
1312028,1,3,12,San Francisco ,135,1.4946
1112029,1,1,12,Urra ,338,0.4434
1112030,1,1,12,Porce II,405,2.23
1412032,1,4,12,Rucio,1000,7.011
1412033,1,4,12,Negro,1000,7.011
1412034,1,4,12,Tunjita,20,1.707
1412035,1,4,12,Alicachin,35,3.8095
1412036,1,4,12,Tomine,35,3.8095
1412037,1,4,12,Sisga,35,3.8095
1412038,1,4,12,Neusa,35,3.8095
1412039,1,4,12,Baraya,35,3.8095
1412040,1,4,12,Checua,35,3.8095
1412041,1,4,12,Teusaca,35,3.8095
1312042,1,3,12,guarino,396,2.0019
1312043,1,3,12,manso,396,2.0019
1112046,1,1,12,porce III,700,3.0742
1612047,1,6,12,el quimbo,396,1.0524
1112048,1,1,12,pescadero,1200,1.7019
1112052,1,1,12,canasgordas,270,4.3519
1212057,1,2,12,nechi,40,0.636
1212058,1,2,12,pajarito ,40,0.636
1112059,1,1,12,dolores,40,0.636
1112060,1,1,12,quebradona,19,2.4285
