codigo ,H/W/S,localizacion,resolucion,nombre,p_instalada (MW),FP (MWh/m3/s)
1212001,1,2,12,SOGAMOSO,819,1.3047
1312002,1,3,12,SAN LORENZO,170,2.4761
1312003,1,3,12,SAN CARLOS,1240,5.4605
1312004,1,3,12,CALDERAS,19.9,3.6716
1312005,1,3,12,MIEL I,396,2.0019
1312006,1,3,12,AMOYA,80,4.8609
2312001,2,3,12,PEPETSHI,376,
3212001,3,2,12,SOL URIBIA,390,
1612007,1,6,12,ALTO ACHINCAYA,355,3.904
1412008,1,4,12,BATA,1000,7.011
1612009,1,6,12,BETANIA,540,0.6237
1312010,1,3,12,CALIMA,132,1.8735
1412011,1,4,12,CHUZA,35,3.8095
1112012,1,1,12,CONCEPCION ,40,0.636
1312013,1,3,12,DIGUA,74,0.5321
1112014,1,2,12,GRANDE TASAJERA,306,7.7612
1112015,1,1,12,GUADALUPE,40,0.636
1312016,1,3,12,GUATAPE,207,1.561
1412017,1,4,12,GUAVIO,1200,9.7418
1312018,1,3,12,NARE,560,7.6858
1412019,1,4,12,PRADO,46,0.4899
1612020,1,6,12,SALVAJINA,285,0.9877
1112023,1,1,12,TENCHE,40,0.636
1412024,1,4,12,CHINCHINA,19,0.85
1412025,1,4,12,CAMPO ALEGRE,19,0.85
1412026,1,4,12,SAN EUGENIO,30,1.2534
1212027,1,3,12,ESTRELLA,30,1.2534
1312028,1,3,12,SAN FRANCISCO ,135,1.4946
1112029,1,1,12,URRA ,338,0.4434
1112030,1,2,12,PORCE II,405,2.23
1412032,1,4,12,RUCIO,1000,7.011
1412033,1,4,12,NEGRO,1000,7.011
1412034,1,4,12,TUNJITA,20,1.707
1412035,1,4,12,ALICACHIN,35,3.8095
1412036,1,4,12,TOMINE,35,3.8095
1412037,1,4,12,SISGA,35,3.8095
1412038,1,4,12,NEUSA,35,3.8095
1412039,1,4,12,BARAYA,35,3.8095
1412040,1,4,12,CHECUA,35,3.8095
1412041,1,4,12,TEUSACA,35,3.8095
1312042,1,3,12,GUARINO,396,2.0019
1312043,1,3,12,MANSO,396,2.0019
1112046,1,2,12,PORCE III,700,3.0742
1612047,1,6,12,EL QUIMBO,396,1.0524
1112048,1,2,12,PESCADERO,1200,1.7019
1112052,1,1,12,CANASGORDAS,270,4.3519
1212057,1,2,12,NECHI,40,0.636
1212058,1,2,12,PAJARITO ,40,0.636
1112059,1,1,12,DOLORES,40,0.636
1112060,1,2,12,QUEBRADONA,19,2.4285
1612080,1,6,12,APORTES AGREGADOS,396,1
