PROMEDIOS,,44.0,128.8,16.1,6.6,8.8,80.4,10.9,29.6,35.1,12.7,54.7,2.1,430.0,3222.0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,ALTO ACHINCAYA,SALVAJINA,CHINCHINA,CAMPO ALEGRE,SAN EUGENIO,MIEL I,CALIMA,DIGUA,GUARINO,MANSO,PRADO,ESTRELLA,APORTES AGREGADOS_REG2,APORTES AGREGADOS,
,,1612007,1612020,1412024,1412025,1412026,1312005,1312010,1312013,1312042,1312043,1412019,1212027,1612082,1612080,
1,Jan,43.91,166.02,15.23,5.86,7.69,93.62,10.55,27.37,32.43,11.81,45.57,1.72,461.77,2277.83,
2,Feb,38.61,140.25,13.71,5.37,7.02,83.86,8.59,23.86,32.59,11.51,53.30,1.60,420.26,2204.91,
3,Mar,38.25,139.49,16.05,6.11,8.02,88.18,10.33,22.38,37.58,11.96,68.72,1.89,448.97,2543.23,
4,Apr,49.53,151.10,16.96,7.94,10.88,89.88,12.76,29.34,41.90,14.38,80.32,2.17,507.16,3403.85,
5,May,51.83,143.78,18.39,8.00,10.68,94.59,13.49,32.15,45.02,15.44,69.54,2.55,505.46,3980.83,
6,Jun,42.41,116.50,15.57,6.58,8.68,62.99,10.08,27.67,33.88,10.79,39.56,2.36,377.06,3742.05,
7,Jul,31.36,98.13,13.22,4.92,6.46,41.26,6.94,21.27,23.36,7.63,25.44,1.98,281.96,3427.86,
8,Aug,28.66,68.49,12.23,4.55,5.94,40.40,5.22,20.15,22.16,7.38,32.20,1.82,249.21,3035.36,
9,Sep,35.79,55.04,12.75,5.11,6.73,57.39,7.21,26.32,28.47,11.53,20.61,1.69,268.64,3056.59,
10,Oct,54.73,92.21,18.68,7.86,10.32,86.34,12.20,42.51,39.69,15.85,54.38,2.05,436.81,3678.51,
11,Nov,63.03,177.47,21.81,9.35,12.36,114.52,17.65,46.31,43.38,19.09,90.77,2.60,618.35,4027.79,
12,Dec,50.22,197.61,19.06,7.79,10.23,112.36,15.39,36.28,41.24,15.06,76.41,2.38,584.02,3285.60,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,ALTO ACHINCAYA,SALVAJINA,CHINCHINA,CAMPO ALEGRE,SAN EUGENIO,MIEL I,CALIMA,DIGUA,GUARINO,MANSO,PRADO,ESTRELLA,APORTES AGREGADOS_REG2,APORTES AGREGADOS,
,,1612007,1612020,1412024,1412025,1412026,1312005,1312010,1312013,1312042,1312043,1412019,1212027,1612082,1612080,
1,Jan,1.00,1.29,0.94,0.89,0.88,1.16,0.97,0.92,0.92,0.93,0.83,0.83,1.07,0.71,
2,Feb,0.88,1.09,0.85,0.81,0.80,1.04,0.79,0.81,0.93,0.91,0.97,0.77,0.98,0.68,
3,Mar,0.87,1.08,0.99,0.92,0.92,1.10,0.95,0.76,1.07,0.94,1.26,0.91,1.04,0.79,
4,Apr,1.13,1.17,1.05,1.20,1.24,1.12,1.17,0.99,1.19,1.13,1.47,1.05,1.18,1.06,
5,May,1.18,1.12,1.14,1.21,1.22,1.18,1.24,1.08,1.28,1.22,1.27,1.24,1.18,1.24,
6,Jun,0.96,0.90,0.96,0.99,0.99,0.78,0.93,0.93,0.96,0.85,0.72,1.14,0.88,1.16,
7,Jul,0.71,0.76,0.82,0.74,0.74,0.51,0.64,0.72,0.66,0.60,0.46,0.96,0.66,1.06,
8,Aug,0.65,0.53,0.76,0.69,0.68,0.50,0.48,0.68,0.63,0.58,0.59,0.88,0.58,0.94,
9,Sep,0.81,0.43,0.79,0.77,0.77,0.71,0.66,0.89,0.81,0.91,0.38,0.82,0.62,0.95,
10,Oct,1.24,0.72,1.16,1.19,1.18,1.07,1.12,1.43,1.13,1.25,0.99,0.99,1.02,1.14,
11,Nov,1.43,1.38,1.35,1.41,1.41,1.42,1.62,1.56,1.23,1.50,1.66,1.26,1.44,1.25,
12,Dec,1.14,1.53,1.18,1.18,1.17,1.40,1.42,1.22,1.17,1.19,1.40,1.15,1.36,1.02,
,Coef de correl,0.55,0.00,0.58,0.64,0.65,0.10,0.49,0.60,0.42,0.46,0.28,0.85,0.25,1.00,
